Utterance,Service
"Hello, I need a train to take me to Kings Lynn and I really need to arrive by 10:30. Can you help me?",2
I'll be leaving from Cambridge on Thursday.,2
"No, but could you tell me the price?",2
"Okay, thank you. I would also like to get info on a hotel called City Centre North B and B.",1
Sounds good. Can you book a room for 4 people for me. For 5 nights starting Saturday.,1
I want to eat some Greek food.,0
mediterranean food will be just fine,0
"No, price doesn't matter to me. I will need a reservation for 1, at 14:30 on Thursday.",0
"No, price doesn't matter to me. I will need a reservation for 1, at 14:30 on Thursday.",2
"No, price doesn't matter to me. I will need a reservation for 1, at 14:30 on Thursday.",1
"Great, can I get the reference number?",0
Also wanting to book a hotel by the name of Bridge Guesthouse. I need it for three nights beginning on Thursday for one person. Could you provide the reference number?,0
Also wanting to book a hotel by the name of Bridge Guesthouse. I need it for three nights beginning on Thursday for one person. Could you provide the reference number?,1
I'm going to need a taxi to take me from the hotel to the restaurant.,2
I'm going to need a taxi to take me from the hotel to the restaurant.,0
I'm going to need a taxi to take me from the hotel to the restaurant.,1
"Yes, hi, can you help me? I've heard good things about the Vue Cinema. Do you have any particulars about it? I might want to catch a show later.",2
Yes. I am also looking for a moderately priced place to stay at. I would like to make sure it has free parking also.,1
I would like for it to be in the north and have free wifi as well.,1
That's a guesthouse right? Could you give me it's address and star rating?,1
i also want to book a taxi to commute between the two places. i want to leave the attraction by 16:15.get contact number and car type,2
Where are some restaurants that serve mediterranean dishes that are in the low to moderate price range?,0
Is that one cheap? I do need a cheap place.,0
Yes if it is cheap and in town centre I would like to book a table for 3 people on Saturday please.,0
Yes if it is cheap and in town centre I would like to book a table for 3 people on Saturday please.,2
I would like you to book my reservation for 3 people at 16:00 on a Saturday.,0
I would like you to book my reservation for 3 people at 16:00 on a Saturday.,2
how about 15:00 then?,0
I also need to book a train on the same day departing from London Kings Cross to Cambridge.,2
"I need a train that will arrive by 09:30, which of those is closest in arrival time?",2
"I'm in the mood for swedish food, but I want something in the centre of town.",0
What about Chinese?,0
Could you recommend one?,0
Yes please! I'd like a table for 5 on Monday at 15:15.,0
Do you have any recommendations for restaurants in Cambridge?,2
Do you have any recommendations for restaurants in Cambridge?,0
"I'm sorry, it is actually a train that I'm looking for. I need to depart from Cambridge on Saturday.",2
"I'm sorry, it is actually a train that I'm looking for. I need to depart from Cambridge on Saturday.",0
"I need to go to leicester and leave from cambridge after 18:00. There are 8 of us, can you make a reservation and send me the reference number?",2
Perfect. I am also looking for a moderate priced restaurant in the east,0
I am interested in Italian.,0
yeah i need a table for eight,0
Can you book it for me and get a reference number ?,0
Please make the reservation for 8 people at 11:30 on Saturday please.,0
Please make the reservation for 8 people at 11:30 on Saturday please.,2
I am looking for information in Cambridge.,2
I am looking for places to visit while I'm in town.,2
I would like to visit a museum. Could you suggest one? Any area is fine.,2
That sounds good. What area is it in? I'm also looking for a train leaving cambridge on monday going to norwich. I'd like to arrive by 14:15. Can you help me?,2
That sounds good. What area is it in? I'm also looking for a train leaving cambridge on monday going to norwich. I'd like to arrive by 14:15. Can you help me?,2
Great what is the price and travel time on that train?,2
Can you book it for me?,2
"Yes, I just need one ticket. Please give me the reference number too.",2
Can you give me the address to a museum in Cambridge?,2
"Yes, I'm looking for the Vue Cinema. Can you please tell me the attraction type, area, and address?",2
I also need information regarding a hotel called Worth House.,1
I also need information regarding a hotel called Worth House.,2
Thank you. Please book the hotel for 7 people and 2 nights starting from thursday.,1
"Oh yes, I need a taxi from the hotel to get to the cinema.Can you book me one?",2
"Oh yes, I need a taxi from the hotel to get to the cinema.Can you book me one?",1
I want to leave the hotel by 3:30.,2
"Just to be clear, did you want that taxi ride in the wee hours of the morning or in the afternoon? It is booked for the afternoon.",2
"Hello, I am looking for a train that is going to Cambridge from London Liverpool Street.",2
I am leaving on Friday and would like to arrive by 8:00 please.,2
"Yes, please. I need 4 tickets and the reference number for my booking.",2
Thanks I am also looking for a swimming pool in the north part of town.,2
"What is the phone number for the swimming pool, entrance fee, and address?",2
Excellent. That should be everything!,2
i am looking for a place to stay. The hotel should be in the centre and should have a star of 0.,1
i am looking for a place to stay. The hotel should be in the centre and should have a star of 0.,2
Is that a moderately-priced hotel?,1
"Yes please, for 4 people and 5 nights starting on Tuesday",1
Wait. I need help with one more thing. I want to know of any colleges in the same area.,2
I would like it to be in the middle of town.,2
Sounds good. What is their entrance fee?,2
I'd like a taxi from the hotel at 16:30 to take me to Christ's college. Please provide me with car type and contact number,2
I'd like a taxi from the hotel at 16:30 to take me to Christ's college. Please provide me with car type and contact number,1
I'd like a taxi from the hotel at 16:30 to take me to Christ's college. Please provide me with car type and contact number,2
I am looking for a moderately priced place to stay while visiting north Cambridge.,1
I am looking for a moderately priced place to stay while visiting north Cambridge.,2
It should include free parking.,1
I would like to book one of the hotels. I will need it for 4 people for 2 nights staring from Thursday. May I also have a reference number?,1
"Awesome, I also need a train on Saturday that arrives by 19:45.",1
"Awesome, I also need a train on Saturday that arrives by 19:45.",2
I will be going to Boxbourne and I will be leaving from Cambridge.,2
How long is the actual travel time and how much does it cost?,2
I am planning a trip to Cambridge,2
I would like a european place in the west to eat please.,0
"No thanks, could you just give me their phone number?",0
"I need a train to Stevenage on Sunday, please. I need to arrive by 08:00.",2
Can you book me for 2 people?,2
"I need to take a train to Cambridge by 17:45. If its is after that I will be late for dinner, mother gets angry when that happens.",2
I'm looking to travel from norwich and leaving on tuesday,2
No thanks that will work. I need it booked for 3 people.,2
Thank you! Can you tell me about places to go in the West?,2
Okay. Could I have their postcode and phone number please?,2
Can you help me find some information about places to go on the west side of town?,2
Yes please suggest a college and I will need the entrance free for that.,2
Thank you. Can you help me with a train for sunday?,2
I'll be leaving Bishops Stortford heading to Cambridge.,2
I would like to arrive in Cambridge by 19:30 please.,2
"Not as long as it arrives by 19:30, no.",2
"Yes please, for 8 people.",2
Please help me find a train departing Stansted Airport and going to Cambridge. Thanks.,2
I would like to leave on Monday after 17:15.,2
I just need to know the price please.,2
Can you tell me where the scott polar museum is located.,2
I need their phone number please.,2
I'm looking for information on a hotel called kirkwood house.,1
"I would like to this book hotel for 2 people and for 5 nights on Friday, please.",1
I'm looking for a local restaurant to dine in that cheap and serves indian food.,0
It doesn't matter to me. I just need the address to get to it. Thanks!,0
"It doesn't matter, any of the four places will be fine.",0
"Yes, can you help me find a train departing Cambridge on Tuesday?",2
"Yes, I'd like to leave after 09:30, please.",2
I will be traveling to Stevanage.,2
Yes can you please book that for me?,2
"Well just one, I need the travel time too.",2
I need a taxi to leave from the gallery at twelve a high street to arrive by 15:30,2
I'm going to the nirala.,2
I'm planning a visit to Cambridge and I want to know when a train that is leaving Monday will take me to Broxbourne.,2
"Yes, it should leave after 9:00.",2
I will need tickets for 3 people and also the reference number please.,2
I'm looking for an attraction called sheep's green and lammas land park fen causeway.,2
Can I get the entrance fee and phone number please?,2
I am looking for a place to go visit in the centre of town.,2
I am looking for a place to go visit in the centre of town.,1
"Great can I get the entrance fee, address, and phone number please?",2
Thank you I also need a place to stay that has a 4 star rating and is in the cheap price range.,1
"Yes, I would to stay in a guest house in Cambridge.",1
"If possible, I would like to stay in the centre close to Saints Church.",1
"If possible, I would like to stay in the centre close to Saints Church.",2
"Okay, go ahead and book it for just me for 4 nights starting Thursday. Can I get a reference number please?",1
I will be the only one staying.,1
Can you help? I'm in need of a taxi. I'm trying to get from hobsons house to royal spice.,2
I want to leave after 18:30 please,2
I am looking for a place to dine. The restaurant should be in the cheap price range and should serve chinese food,0
Which area is it in?,0
I want to book a train from birmingham new street and go to cambridge.,2
I am making the trip on Saturday and would need to arrive by 18:45.,2
"Yes, that would work great. I need to book the train for 3 people. Can I get a reference number?",2
"Can I get a place to eat, I'm looking for something expensive in the west part of town.",0
I'm looking for a place that serves British food. I'll just need the address please?,0
is that located in the west? i prefer the west.,0
i am looking for a place to go in the center of town for entertainment,2
"Hmm, nope. We've been there. How about a concert hall in the centre of town?",2
"Yes, what is the entrance fee for that please?",2
I guess I will find out when I get there. I'm also looking for information regarding a restaurant called Curry Queen.,0
What area it is located in and what their phone number is.,0
Hello. I'm trying to find a restaurant in the centre that serves Indian food.,0
I'm looking for something sort of on the cheap side.,0
I'm looking for something sort of on the cheap side.,1
Yes please make a reservation for 3 people at 16:00 on Saturday at any of those choices.,0
Yes please make a reservation for 3 people at 16:00 on Saturday at any of those choices.,1
I am also looking for a guesthouse that includes free wifi.,0
I am also looking for a guesthouse that includes free wifi.,1
The guesthouse should be in the same price range as the restaurant with a 4 start rating,1
I would like to book that for 5 nights please.,1
"The same two that I'm taking to the restaurant, so there are three of us all together.",1
The same day as the restaurant reservation which is Saturday.,0
The same day as the restaurant reservation which is Saturday.,1
Then how about 3 nights?,1
I need to book a taxi to come to Express by Holiday Inn Cambridge to take me to The Oak Bistro.,2
I want to leave by 07:30.,2
How much is the bus in the North.,1
How much is the bus in the North.,2
"I actually need a place to stay. In the north, 2 stars.",1
"I actually need a place to stay. In the north, 2 stars.",2
Are either a guest house?,1
"Yes, how about a hotel?",1
"Yes, please. There will be 3 of us arriving on Wednesday. We would like to stay for 5 nights.",1
I would also love a suggestion of something to do in the city. Something in the north would be preferred.,1
I would also love a suggestion of something to do in the city. Something in the north would be preferred.,2
"Yes, please provide their contact info.",2
"No, thank you. I will need a taxi, though.",2
I want to leave the Riverboat Georgina at 5:30 to go to the Ashley Hotel,2
I want to leave the Riverboat Georgina at 5:30 to go to the Ashley Hotel,1
I am looking for a nightclub. Are there any located in the south side of Cambridge?,2
"Yes, may I have the postcode please?",2
I'm also looking for a hotel to stay at called huntingdon marriot hotel. What is the address?,1
"Perhaps, can you tell me how many stars they have and if they have free parking?",1
"Yes. I also need a taxi to pick me up at the club by 23:45. I need a number and car type, please.",2
"Yes. I also need a taxi to pick me up at the club by 23:45. I need a number and car type, please.",1
The Huntingdon Marriott Hotel please.,2
The Huntingdon Marriott Hotel please.,1
Looking for a restaurant thats expensive. Needs to be in the centre area.,0
How about british food? Is there anything like that?,0
"Sure, surprise me! I need a reservation for 5 people at 18:15 on friday.",0
"Sure, surprise me! I need a reservation for 5 people at 18:15 on friday.",2
"Yes, I am also looking for a train departing from Peterborough. Can you help me with that?",2
I will be traveling to Cambridge and need to arrive by 9:15 on Friday.,0
I will be traveling to Cambridge and need to arrive by 9:15 on Friday.,2
"Yes, please book for 5 people as well...and can you provide me with a reference number?",2
I'm looking for a specific restaurant. I'll give you the name when you're ready.,0
"I'd like to book a table at the Cambridge Chop House. 5 people at 16:15 on Wednesday, please.",0
"I'd like to book a table at the Cambridge Chop House. 5 people at 16:15 on Wednesday, please.",2
I also need to book a train that is going to Cambridge that will arrive by 10:00.,2
I will be leaving from Bishops Stortford on Wednesday and would like to arrive by 10:00.,0
I will be leaving from Bishops Stortford on Wednesday and would like to arrive by 10:00.,2
I'll go with the one that arrives by 8:07. I'll need 5 tickets.,2
Can you tell me what sorts of entertainment are offered in the city center?,2
What about a museum?,2
Never mind. How about colleges?,2
what are the ones with an entrance fee?,2
How much is it to get into Trinity College?,2
"I'm also looking for an expensive restaurant in that area. I would like to book for 6 people, at 12:00 on Thursday. Can you help me?",0
You choose. Book me a table for 6 people at 12:00 on Thursday.,0
I need the reference number for the reservation.,0
"I'm looking for a place to dine, can you help?",0
I am looking for cheap Chinese food in centre.,0
I am looking for cheap Chinese food in centre.,2
I would like to find something cheap. Is Charlie Chan cheap?,0
Yes can you please get me a reservation?,0
"There are 5 people, and we'd like it for Friday at 18:15",0
"There are 5 people, and we'd like it for Friday at 18:15",2
Can I have the reference number please?,0
"I need to visit an attraction type college near the restaurant, give me the entrance fee and phone number. Also, I need a taxi, will need the phone and car type.",2
"I need to visit an attraction type college near the restaurant, give me the entrance fee and phone number. Also, I need a taxi, will need the phone and car type.",2
"Yes, please. Get me a taxi and make sure it gets to the restaurant by 18:15",0
"Yes, please. Get me a taxi and make sure it gets to the restaurant by 18:15",2
"Yes, please. Get me a taxi and make sure it gets to the restaurant by 18:15",2
i would like it to arrive at the restaurant by the booking time,2
I will be departing from saint catharine's college.,2
I will be departing from saint catharine's college.,2
Can you find me a cinema in town that I can go to?,2
Either area is fine. Can you pick one for me and let me know their address?,2
Do you know the entrance fee?,2
"Yes, can you tell me their address please?",2
Please find me a british restaurant in the expensive price range?,0
I would like a restaurant in the centre.,0
"Yes please, could you book a table for 6 people at 15:30 on Tuesday. Could i have the reference number too please?",0
"Sure, no problem.",0
Can you tell me about some colleges to go to?,2
"That sounds fine! Can I get their phone number, address, and postcode?",2
Can you get me information on a restaurant called yippee noodle bar?,0
"Yes, please. A table for 1 at 11:00 on Friday.",0
Great. I am also looking for an entertainment venue in the town centre. Can you help me with that?,2
"Sure, let's try nightclubs.",2
There are no nightclubs in town?,2
"Which club to you recommend, can I get the entrance fee and phone number?",2
What trains leave cambridge and arrive by 21:00?,2
No I need leave in Wednesday and I am going to norwich.,2
No I need leave in Wednesday and I am going to norwich.,0
"No, I don't have a specific departure time, but I need to book 8 tickets on the same train.",2
"Great, thanks. Yes, I need to find an expensive restaurant in the centre area as well.",0
"I do not care, I just need to get the restaurant for 8 people, at 16:00, on wednesday as well, do any of them fit that?",0
"I do not care, I just need to get the restaurant for 8 people, at 16:00, on wednesday as well, do any of them fit that?",2
"Yes, that sounds good, and I would like the reference number, please.",0
I was looking for a hotel called worth house someone told me about.,1
Can you tell me their star rating and fo they have free parking? Oh and what area are they in?,1
No thank you. I am also looking for a place to go in the west section of town. Can you help with that?,2
Whale of a Time sounds good. Can you give me the postcode and address for that?,2
"Yes, I will also need a taxi between those two places. I want to leave the hotel by 2:15. I will need the contact number and car type.",2
"I'm looking for a modern European restaurant near the centre, could you hook me up?",0
I would like moderate price range please.,0
Yes could you book me one seat at 17:45 on a Monday?,0
Lets try a table for 1 on Monday at 16:45 instead.,0
I'm looking for some places to go in Cambridge. Specifically some time of architecture in the east.,2
I'm looking for some places to go in Cambridge. Specifically some time of architecture in the east.,2
A museum in the east would be nice if possible.,2
"Can I please have the address, phone number and postcode for Cambridge Artworks?",2
"Can I please have the address, phone number and postcode for Cambridge Artworks?",2
I'm also looking for a train that leaves on monday after 13:00.,2
To kings lynn. I'm leaving from cambridge if that helps.,2
"Yes, book it! Three other people will be with me.",2
I am looking for an expensive restaurant in the south part of town.,0
"Actually, I'm trying to find a restaurant with Italian food. Is there any place like that that has the same requirements?",0
What is its postcode and address?,0
No. I'm looking for a train. The train should depart from cambridge and should leave on friday.,2
I'm headed to norwich and need to be there by 8:30. Can I get the train ID and it's travel time?,2
Give me the train ID and travel time for the train the departs at 05:36.,2
Yes please.,2
"Actually, I don't need to book the train at this time. Thank you for your help!",2
Hi there. Can you help me find a train going to London Liverpool Street?,2
I would like to leave from Cambridge on Friday. Any train after 16:00 should be fine.,2
"Yeah, that sounds good. Can you get me two tickets?",2
"Yes, I'm also looking for a hotel called avalon.",1
"I need to book it for 2 nights, starting Wednesday, for 2 people.",1
I am wanting to book a taxi to go to Cherry Hinton Water Play. I want to make sure I arrive by 10:00.,2
I would like to be picked up from golden house.,2
I'm looking for a place to go in the centre of town.,2
I'm looking for a place to go in the centre of town.,1
I would like a college please can you send me some info?,2
"Yes, that's fine. Can you give me the phone number, entrance fee, and postcode? Thanks.",2
I am also looking for a place to stay. It should be a guesthouse in the same area and include free wifi. It doesn't need to have free parking.,1
The star preference doesn't matter. I'll take the 4 star.,1
Thank you. I will also need a taxi to commute between the two places.,2
From the Alexander B&B to Christ's College. I want to leave the hotel by 09:45.,2
May I please get a contact number for the taxi?,2
What type of car is it?,2
I am looking for information in Cambridge.,2
I am wanting to find out what nightclubs you have in the city?,2
I just need a phone number for one you recommend.,2
I would love some information on a train to get me to Ely on Thursday.,2
"Yes, I need the train to arrive by 10:45.",2
That would be great. Can I book 5 seats for that train?,2
I'd love some help finding more information about the Michaelhouse Cafe.,0
"Yes, could I get the phone number and postcode?",0
"I also need to take a train from peterbourough to cambridge, I need to arrive by 21:00",2
I will be traveling on Sunday,2
Yes 1 ticket please and the reference number then too,2
I need a train from Cambridge leaving after 18:30 in the evening please.,2
London liverpool street. I need the train for wednesday.,2
"Yes, that should be fine, can you tell me how long is the travel time?",2
I don't know at this time. I would have to check.,2
Are there any restaurants that would be in the west?,0
"I don't care what kind of food, but I am looking for an expensive restaurant. Please let me know what food type you find.",0
Yes that would be great,0
1 person and after 20:00,0
"Yes, that would be fine. Thank you!",0
"Hi, I'm looking for an indian restaurant.",0
"I'm looking for something in the west, and it should be expensive.",0
"I'm looking for something in the west, and it should be expensive.",2
"cocum sounds interesting. can you give me the phone number, address and postcode please?",0
Do you have any recommendations for places to go in town maybe some architecture? That are in the same area as the restaurant?,2
I'd like to stay in one area. Are there any museums near the restaurant that would be open?,2
"Yes, could I get the postcode and address please?",2
"Yes, I need a Taxi from the Museum by 11:30 to the restaurant.",2
"Yes, I need a Taxi from the Museum by 11:30 to the restaurant.",2
Could you help me find a college to visit?,2
I would like to visit one in the centre.,2
What is the street address and postal code for Christ's College? I am also looking for a hotel called the City Centre North B and B.,1
What is the street address and postal code for Christ's College? I am also looking for a hotel called the City Centre North B and B.,2
Thank you. I had a friend recommend a hotel called the City Centre North B and B. Can you tell me if there are any rooms available there?,1
"Book it for Thursday night, 3 nights, and 4 people. Thank You!",1
"Actually, I'd like to book there Monday for 1 night with 8 people.",1
I would also like a taxi and would like to leave the college by 06:45. Can you also provide me with its contact number and car type?,2
I would also like a taxi and would like to leave the college by 06:45. Can you also provide me with its contact number and car type?,2
I am planning a trip in Cambridge,2
Great. I wanted to find a theatre to visit while I'm in town.,2
I don't have a preference. Can you recommend one and provide me some information on it?,2
ADC Theatre will work. Can you tell me what part of town that is in?,2
Great! Can you give me the postcode and phone number? I'd like to mark that in my notes in case I get lost.,2
Can I get the postcode for that as well?,2
"OK. Can you help with trains, too, or do I have to go somewhere else for that?",2
I will be departing from ely and going to cambridge,2
I am planning to leave on saturday and it should arrive by 15:30.,2
"Yes, please. I need tickets for 8 people.",2
"Hi, I'm looking for a restaurant called pizza hut cherry hinton, can you help me find it?",0
"No, I wanted to make a reservation there.",0
Just one person on Sunday at 19:45,0
Please help me locate a train that departs from Cambridge and is going to Leicester. Thanks.,2
"I'm flexible about departure time, but I must arrive by 18:45 on Saturday.",2
"I'm flexible about departure time, but I must arrive by 18:45 on Saturday.",0
Not yet but can I get travel time and train ID?,2
"What is the travel time for the train? Also, I need a place to eat in the centre. It should be in the expensive range.",0
"What is the travel time for the train? Also, I need a place to eat in the centre. It should be in the expensive range.",2
Any place in the centre with good food and service would be perfect.,0
"ok, as long as it's expensive.",0
Yes. Book for 5 people the same day and at 15:30.,0
I feel like dancing so please find me a nightclub in the centre,2
Could you tell me their entrance fee?,2
"Yes, I'm also looking for a train. I need to arrive by 18:00. I'm heading to London Liverpool Street.",2
I am departing from Cambridge on Monday.,2
You've already given me the train ID. I just need the departure time.,2
I need somewhere to stay.,1
"Yes, a hotel. Something 2 stars.",1
"Yes, please! Pick your favorite and book it for 7 people, 2 nights. We'll be arriving on Friday.",1
"Yes, where would you suggest to eat?",1
"Yes, where would you suggest to eat?",0
I would like italian please.,0
Actually can you find an attraction called Jesus College.,2
I need a taxi to return back to the hotel. I'll be leaving the college at 3:15 PM.,2
I need a taxi to return back to the hotel. I'll be leaving the college at 3:15 PM.,1
I am looking for a train. The train should depart from peterborough and should arrive by 13:00.,2
Only if it leaves on Thursday.,2
Yes I would like tickets for 2 people and the reference number please.,2
Yes. I am also looking for museums to go to in town.,2
Not really. Can you give me a list of museums?,2
Fantastic. Could you provide me with the phone number for that museum?,2
I want to find a four star hotel that has free internet.,1
I would like a cheap hotel.,1
"Yes, please book it for 6 people for 4 nights starting saturday. I'll need the reference number when it is booked. Thank you.",1
thank you. I also need to book a train out of cambridge after 20:30.,2
I'm not sure yet how many people but I would like to leave on Wednesday.,2
I will be going to Ely.,2
how much would one ticket cost?,2
I need a train leaving from Cambridge this Thursday,2
I need a train leaving from Cambridge this Thursday,0
"I'm going to king's lynn, and I need to arrive by 21:00.",2
Please get me a ticket for one that leaves at 5:11 a.m and send me the reference number.,2
Yes! I am looking for a restaurant that serves corsica food and it should in the centre. Can you find me a place to dine?,0
Can you check if these is any corsica restaurants anywhere?,0
"Yes, how about something that serves indian food.",0
"That sounds great! Go head and make a reservation for 1 for 13:00 on Thursday, please. I would like the reference number as well.",0
"That sounds great! Go head and make a reservation for 1 for 13:00 on Thursday, please. I would like the reference number as well.",2
"Actually, I was looking for an cheap restaurant. Are there any cheap Indian restaurants. If so, let's cancel that reservation.",0
What is the name of the restaurant?,0
"No, thanks. I am all set.",0
I need to find a train departing on Sunday that is going to Cambridge.,2
I am departing from leicester.,2
Yes I need to leave after 18:30 on sunday and I need to make a reservation for 8 people. Can you give me a reference number for the booking?,2
Yes please book it for 8 people.,2
i'm also looking for places to go in town.,2
"Hmmm...all of those sound interesting, but I am really looking for a college. Are there any in the centre of town?",2
That sounds great! Can you tell me the entrance fee?,2
I'm looking for a guesthouse to stay in on the east side. You know of any?,1
The guesthouse should be expensive.,1
"Okay, I guess I could go for something different. Do you have anything on the cheap side?",1
"I actually want something in the expensive price range, sorry.",1
"I'm sorry for changing my mind again but cheap is fine. You had mentioned Autumn House. What is their address, please.",1
"First I need the address please. Also, can you tell me if they have free parking and wifi?",1
We are going to the centre for a night out. Hear you have some great attractions can you help me find something fun?,2
I'd prefer something more geared towards nightlife. Maybe a club?,2
Yes. What is the entrance fee?,2
I'd also like to know the postcode.,2
"Yes, I'd also like some help finding a hotel.",1
It should be a guest house. And I need WiFi and parking,1
Can you look for a guesthouse in the Centre with free parking?,1
Can you look for a guesthouse in the Centre with free parking?,2
Yes. Please book for a party of 7 for Saturday. We'll be staying 3 nights.,1
Thank you that would be all I need for today,2
I would love to see some architecture in the centre please,2
"All saints church sounds nice, can I please get their postcode and phone number?",2
Thank you. I am also looking for information regarding a train to Cambridge please.,2
I'm leaving london kings cross on monday after 17:45.,2
I would. I'd be coming with four of my friends.,2
I need a train to bishops stortford that arrives by 17:15.,2
I am leaving cambridge and need to arrive by 17:15.,2
I want to leave on Friday.,2
"Yes, I need a booking for 5 people and the reference number. I am also looking for information on Cambridge Artworks.",2
"Yes, I need a booking for 5 people and the reference number. I am also looking for information on Cambridge Artworks.",2
I'd like to know what area Cambridge Artworks is in.,2
I'd like to know what area Cambridge Artworks is in.,2
"What is the address, postcode, and phone number please.",2
I'm looking for a restaurant. I don't suppose you happen to have one serving australasian food?,0
Do you have one that is in the moderate price range and serves modern european food?,0
Great can you make a reservation for 1 at 11:45 on Wednesday? Please send me the reservation number once booked.,0
Great can you make a reservation for 1 at 11:45 on Wednesday? Please send me the reservation number once booked.,2
"Yes, I'm also looking for an attraction in the centre of town. Are there any boats that I can see?",0
"Yes, I'm also looking for an attraction in the centre of town. Are there any boats that I can see?",2
"Yes please, and can I get their phone number? How much does it cost?",2
I still would like to know the price of the two places. I also need to arrange a taxi to commute between those two areas.,2
I still would like to know the price of the two places. I also need to arrange a taxi to commute between those two areas.,2
Scudamores Punting Co sounds fine. Could you get me the contact number and car type for the taxi?,2
Scudamores Punting Co sounds fine. Could you get me the contact number and car type for the taxi?,2
"I would like to arrive by 11:45 on wednesday, can I get the car type?",2
"I would like to arrive by 11:45 on wednesday, can I get the car type?",0
I need to find a train going to Broxbourne leaving from Cambridge. Can you help?,2
I need to leave on Sunday and arrive by 18:45.,2
Yes please book it for me.,2
I will only need one ticket.,2
"Thanks. I am also looking for a hotel called the Warkworth house. I need the phone number, price range, and info on if they have free parking.",1
Would you happen to have information on the Lovell Lodge?,1
Can I get the phone number and address please?,1
I looking for some information on a restaurant called Gandhi.,0
book for 6 people at 15:00 on teusday,0
I'm also looking for college attraction in the centre of town. What are my options?,2
"Can you give me the postcode, entrance fee, and phone number of christ's college?",2
I also need a taxi.,2
I need to get to Christ's College from the Gandhi restaurant.,2
I need to get to Christ's College from the Gandhi restaurant.,0
I need to get to Christ's College from the Gandhi restaurant.,2
"I want to try a local restraint, can you help?",0
"Yes, sorry. I would like to try Indonesian food tonight and I would like it in Centre please.",0
Are there any lebanese options available?,0
"Yes, I would like to book a table for 6 people at 20:00 on Thursday. Please give me a reference number. I am also looking for a 4 star guesthouse.",0
"Yes, I would like to book a table for 6 people at 20:00 on Thursday. Please give me a reference number. I am also looking for a 4 star guesthouse.",1
"Yes, I would like to book a table for 6 people at 20:00 on Thursday. Please give me a reference number. I am also looking for a 4 star guesthouse.",2
"The location doesn't matter, it just needs to be cheap.",1
No thanks do they have free internet? If so I need the postcode for it.,1
"I need to book a taxi to commute between the two places, from the hotel to the restaurant. make sure it arrives the restaurant by the booked time",2
I want to stay at a guesthouse in the expensive price range.,1
Could you check one more time please.,1
"Yes, can you try a moderate priced hotel?",1
I'm looking for a hotel.,1
East part of town thank you,1
I apologize. I am looking for an moderately priced guesthouse.,1
I would like more information before booking this guest house please.,1
Does it have free wifi?,1
"Great, can I book a reservation just for myself, starting on Wednesday for 3 nights?",1
"Great, can I book a reservation just for myself, starting on Wednesday for 3 nights?",2
I'd also like to find a train departing from Kings Cross and going to Cambridge on Wednesday.,1
I'd also like to find a train departing from Kings Cross and going to Cambridge on Wednesday.,2
I only need to arrive by 13:00 or earlier.,2
Are there any entertainment spots in the town centre?,2
Do you have any colleges in the centre area?,2
"That sounds perfect. Can you tell me their address and postcode, please?",2
I need some help finding a place to eat.,0
I would like moderately priced turkish food. If you find one please book a table for 2 at 16:30 on saturday. Also provide a reference number.,0
I would like moderately priced turkish food. If you find one please book a table for 2 at 16:30 on saturday. Also provide a reference number.,2
A restaurant that serves turkish food.I also need a train that departs from bishop storford and goes to cambrdige.,0
A restaurant that serves turkish food.I also need a train that departs from bishop storford and goes to cambrdige.,2
The train needs to arrive by 08:15 on Saturday - does one of them meet that criteria?,0
The train needs to arrive by 08:15 on Saturday - does one of them meet that criteria?,2
"Firat, lets book the anatolia for 2 people on Saturday at 16:30.",0
"Firat, lets book the anatolia for 2 people on Saturday at 16:30.",2
Listen. Book the restaurant Anatoli for 2 people on Saturday at 16:30 right now.,0
Listen. Book the restaurant Anatoli for 2 people on Saturday at 16:30 right now.,2
Thank you. Now I could use a train leaving Bishops Stortford and arriving in Cambridge by 8:15.,2
YES! Make a booking for 2 people RIGHT THIS INSTANT!,2
I'm looking for a restaurant in the centre serving Welsh food.,0
"Sure, I guess so.",0
"Well, can I get some african food instead?",0
Is it in he expensive range? If it is I would like to book a table for 7 at 1:00 on Sunday.,0
Is it in he expensive range? If it is I would like to book a table for 7 at 1:00 on Sunday.,1
"Yes, I want to book a table for 19:00.",0
"Yes, can you see if there is a booking available at 18:00 instead? I will also need to make a hotel reservation in a hotel that offers free wifi.",0
"Yes, can you see if there is a booking available at 18:00 instead? I will also need to make a hotel reservation in a hotel that offers free wifi.",1
"Yes, can you see if there is a booking available at 18:00 instead? I will also need to make a hotel reservation in a hotel that offers free wifi.",2
I would like the hotel also to be expensive with at least a 4 star rating. I will need a reference number for my reservation.,0
I would like the hotel also to be expensive with at least a 4 star rating. I will need a reference number for my reservation.,1
Can I have the University arms hotel's phone number and address?,1
"Can you confirm the area of that hotel? I also need a taxi to go from the hotel to Bedouin, I will need to arrive by 18:00.",2
"Can you confirm the area of that hotel? I also need a taxi to go from the hotel to Bedouin, I will need to arrive by 18:00.",0
"Can you confirm the area of that hotel? I also need a taxi to go from the hotel to Bedouin, I will need to arrive by 18:00.",1
I want to tour a college in the centre of town. What's available?,2
Entrance fee is not an issue.,2
Can I have the postcode and address for that college?,2
Can you look up a hotel called Cityroomz?,1
"I need to make a reservation for 4 nights starting from Tuesday, for 6 people.",1
I am looking for a museum in the West.,2
That one sounds great what is the phone number?,2
"I'll give them a call, thanks. Are you also able to help with train tickets?",2
