Utterance,Intent
I'd like to find a place to dine in the west that serves modern american food.,3
"Sure, let's try modern English food.",3
Could you look for a restaurant that serves Thai food?,3
ok.book for seven people at 1215hrs,2
Make the reservation for Thursday please.,2
How about 11:15 on Thursday?,2
"Hello, I am looking for an expensive restaurant to dine at in the center.",3
I am looking for a local restaurant. May I have the phone number of one please?,3
Thank you. I would also like to find a place to go in town in the same area of the restaurant.,4
"I have no preference. Could you suggest something and let me know the entrance fee, please?",4
Thanks! That sounds interesting. Do you know what hours it is open to the public?,4
What attraction type is it please?,4
Is there one near the restaurant?,3
Is there one near the restaurant?,4
Is there an entrance fee?,4
I am planning a trip in Cambridge and need a place to stay with free parking.,1
I am planning a trip in Cambridge and need a place to stay with free parking.,4
"I have no particular price range, but would like a guesthouse in the north part of town.",1
Excellent. Can I book that for 2 people for 2 nights starting on Tuesday,0
Excellent. Can I book that for 2 people for 2 nights starting on Tuesday,4
I also need a train on Tuesday.,0
I also need a train on Tuesday.,4
"I would like to go from cambridge to london liverpool street, and I need to arrive in London by 9:00.",4
Yes please book whichever one is earliest and make sure to get 2 tickets. Then give me the reference number,4
"Hello, I'm looking for a place to stay that offers free parking.",1
I would like it to be in South please.,1
I would like it to be in South please.,3
I am looking for an expensive place to stay.,1
I am looking for an expensive place to stay.,3
I would like a hotel please.,1
I need it booked for 3 people for 5 nights starting from friday.,0
"Thank you, I also need to find a place to eat serving mexican food in the same area as the hotel",3
Can I have the phone number and post code for that please?,3
"I need a taxi from the hotel to the restaurant, leaving the hotel by 02:30, I have to make sure Im first in line when they open for breakfast.",4
I am looking for a train to Stansted Airport from Cambridge.,4
I need to leave on Saturday and be there by 13:45,4
I need to arrive by 1:45 on saturday and I need a reference number.,4
Yes please. Book it for 6 people.,4
Thank you! I will also need a place to stay. Can you recommend a guesthouse with 4 stars and free parking?,1
"not really,once you find the hotel you want to book it for the same group of people and 5 nights starting from monday. send the reference number.",0
"Thanks, that's all I need today!",0
"Hi, I'm looking for a train that leaves Saturday after 10:15. Can you help?",4
I would like to leave Cambridge and go to Kings Lynn.,4
I need five tickets.,4
"Yes, I am also looking for an attraction called Primavera. Do you have any information on this?",4
"Hi, Im looking to find a local hotel that has free parking and free wifi...",1
The location is not important as long as it is a guesthouse.,1
Sounds good so far... what is the price range?,1
Yes. I am looking for an indian restaurant in the cheap price range.,3
Yes. I am looking for an indian restaurant in the cheap price range.,1
I would prefer the restaurant be located in the north. Can you help me find one there?,3
"Yes, for 1 person at 12:15 on Monday.",2
"I need train tickets that leave friday going to london liverpool street please, can you help me?",4
I just need to arrive by 15:45 leaving from cambridge.,4
"Just one. Can you give me the train ID, please?",4
I'm also looking for a expensive restaurant located in the north.,3
"European food, please.",3
No particular time. I just need the phone number.,3
Can you give me more information about the Fitzwilliam Museum?,4
Can you give me more information about the Fitzwilliam Museum?,4
What type of attraction is the museum?,4
What type of attraction is the museum?,4
"Yes, I am interested. I would like a train that arrives Saturday by 08:30.",4
Does the train go to Peterborough from Cambridge?,4
Yes please book that for 5 people please.,4
Ok thank you.,4
"Hi, yes, I'm trying to find a restaurant to go to.",3
An expensive restraunt in town centre that serves asian oriental food,3
Can you book a table for me?,3
book a table for 8 at 15:45 on sunday,2
Yes please. Can we try 11:45?,2
"Can you suggest some college's in town? I need a phone number, postcode and the area too please",4
"Hello, I need a train to take me to Kings Lynn and I really need to arrive by 10:30. Can you help me?",4
I'll be leaving from Cambridge on Thursday.,4
"No, but could you tell me the price?",4
"Okay, thank you. I would also like to get info on a hotel called City Centre North B and B.",1
Sounds good. Can you book a room for 4 people for me. For 5 nights starting Saturday.,0
I want to eat some Greek food.,3
mediterranean food will be just fine,3
"No, price doesn't matter to me. I will need a reservation for 1, at 14:30 on Thursday.",2
"No, price doesn't matter to me. I will need a reservation for 1, at 14:30 on Thursday.",4
"No, price doesn't matter to me. I will need a reservation for 1, at 14:30 on Thursday.",1
"Great, can I get the reference number?",2
Also wanting to book a hotel by the name of Bridge Guesthouse. I need it for three nights beginning on Thursday for one person. Could you provide the reference number?,2
Also wanting to book a hotel by the name of Bridge Guesthouse. I need it for three nights beginning on Thursday for one person. Could you provide the reference number?,0
I'm going to need a taxi to take me from the hotel to the restaurant.,4
I'm going to need a taxi to take me from the hotel to the restaurant.,2
I'm going to need a taxi to take me from the hotel to the restaurant.,0
"Yes, hi, can you help me? I've heard good things about the Vue Cinema. Do you have any particulars about it? I might want to catch a show later.",4
Yes. I am also looking for a moderately priced place to stay at. I would like to make sure it has free parking also.,1
I would like for it to be in the north and have free wifi as well.,1
That's a guesthouse right? Could you give me it's address and star rating?,1
i also want to book a taxi to commute between the two places. i want to leave the attraction by 16:15.get contact number and car type,4
Where are some restaurants that serve mediterranean dishes that are in the low to moderate price range?,3
Is that one cheap? I do need a cheap place.,3
Yes if it is cheap and in town centre I would like to book a table for 3 people on Saturday please.,2
Yes if it is cheap and in town centre I would like to book a table for 3 people on Saturday please.,4
I would like you to book my reservation for 3 people at 16:00 on a Saturday.,2
I would like you to book my reservation for 3 people at 16:00 on a Saturday.,4
how about 15:00 then?,2
I also need to book a train on the same day departing from London Kings Cross to Cambridge.,4
"I need a train that will arrive by 09:30, which of those is closest in arrival time?",4
"I'm in the mood for swedish food, but I want something in the centre of town.",3
What about Chinese?,3
Could you recommend one?,3
Yes please! I'd like a table for 5 on Monday at 15:15.,2
Do you have any recommendations for restaurants in Cambridge?,4
Do you have any recommendations for restaurants in Cambridge?,3
"I'm sorry, it is actually a train that I'm looking for. I need to depart from Cambridge on Saturday.",4
"I'm sorry, it is actually a train that I'm looking for. I need to depart from Cambridge on Saturday.",3
"I need to go to leicester and leave from cambridge after 18:00. There are 8 of us, can you make a reservation and send me the reference number?",4
Perfect. I am also looking for a moderate priced restaurant in the east,3
I am interested in Italian.,3
yeah i need a table for eight,2
Can you book it for me and get a reference number ?,2
Please make the reservation for 8 people at 11:30 on Saturday please.,2
Please make the reservation for 8 people at 11:30 on Saturday please.,4
I am looking for information in Cambridge.,4
I am looking for places to visit while I'm in town.,4
I would like to visit a museum. Could you suggest one? Any area is fine.,4
That sounds good. What area is it in? I'm also looking for a train leaving cambridge on monday going to norwich. I'd like to arrive by 14:15. Can you help me?,4
That sounds good. What area is it in? I'm also looking for a train leaving cambridge on monday going to norwich. I'd like to arrive by 14:15. Can you help me?,4
Great what is the price and travel time on that train?,4
Can you book it for me?,4
"Yes, I just need one ticket. Please give me the reference number too.",4
Can you give me the address to a museum in Cambridge?,4
"Yes, I'm looking for the Vue Cinema. Can you please tell me the attraction type, area, and address?",4
I also need information regarding a hotel called Worth House.,1
I also need information regarding a hotel called Worth House.,4
Thank you. Please book the hotel for 7 people and 2 nights starting from thursday.,0
"Oh yes, I need a taxi from the hotel to get to the cinema.Can you book me one?",4
"Oh yes, I need a taxi from the hotel to get to the cinema.Can you book me one?",0
I want to leave the hotel by 3:30.,4
"Just to be clear, did you want that taxi ride in the wee hours of the morning or in the afternoon? It is booked for the afternoon.",4
"Hello, I am looking for a train that is going to Cambridge from London Liverpool Street.",4
I am leaving on Friday and would like to arrive by 8:00 please.,4
"Yes, please. I need 4 tickets and the reference number for my booking.",4
Thanks I am also looking for a swimming pool in the north part of town.,4
"What is the phone number for the swimming pool, entrance fee, and address?",4
Excellent. That should be everything!,4
i am looking for a place to stay. The hotel should be in the centre and should have a star of 0.,1
i am looking for a place to stay. The hotel should be in the centre and should have a star of 0.,4
Is that a moderately-priced hotel?,1
"Yes please, for 4 people and 5 nights starting on Tuesday",0
Wait. I need help with one more thing. I want to know of any colleges in the same area.,4
I would like it to be in the middle of town.,4
Sounds good. What is their entrance fee?,4
I'd like a taxi from the hotel at 16:30 to take me to Christ's college. Please provide me with car type and contact number,4
I'd like a taxi from the hotel at 16:30 to take me to Christ's college. Please provide me with car type and contact number,0
I'd like a taxi from the hotel at 16:30 to take me to Christ's college. Please provide me with car type and contact number,4
I am looking for a moderately priced place to stay while visiting north Cambridge.,1
I am looking for a moderately priced place to stay while visiting north Cambridge.,4
It should include free parking.,1
I would like to book one of the hotels. I will need it for 4 people for 2 nights staring from Thursday. May I also have a reference number?,0
"Awesome, I also need a train on Saturday that arrives by 19:45.",0
"Awesome, I also need a train on Saturday that arrives by 19:45.",4
I will be going to Boxbourne and I will be leaving from Cambridge.,4
How long is the actual travel time and how much does it cost?,4
I am planning a trip to Cambridge,4
I would like a european place in the west to eat please.,3
"No thanks, could you just give me their phone number?",3
"I need a train to Stevenage on Sunday, please. I need to arrive by 08:00.",4
Can you book me for 2 people?,4
"I need to take a train to Cambridge by 17:45. If its is after that I will be late for dinner, mother gets angry when that happens.",4
I'm looking to travel from norwich and leaving on tuesday,4
No thanks that will work. I need it booked for 3 people.,4
Thank you! Can you tell me about places to go in the West?,4
Okay. Could I have their postcode and phone number please?,4
Can you help me find some information about places to go on the west side of town?,4
Yes please suggest a college and I will need the entrance free for that.,4
Thank you. Can you help me with a train for sunday?,4
I'll be leaving Bishops Stortford heading to Cambridge.,4
I would like to arrive in Cambridge by 19:30 please.,4
"Not as long as it arrives by 19:30, no.",4
"Yes please, for 8 people.",4
Please help me find a train departing Stansted Airport and going to Cambridge. Thanks.,4
I would like to leave on Monday after 17:15.,4
I just need to know the price please.,4
Can you tell me where the scott polar museum is located.,4
I need their phone number please.,4
I'm looking for information on a hotel called kirkwood house.,1
"I would like to this book hotel for 2 people and for 5 nights on Friday, please.",0
I'm looking for a local restaurant to dine in that cheap and serves indian food.,3
It doesn't matter to me. I just need the address to get to it. Thanks!,3
"It doesn't matter, any of the four places will be fine.",3
"Yes, can you help me find a train departing Cambridge on Tuesday?",4
"Yes, I'd like to leave after 09:30, please.",4
I will be traveling to Stevanage.,4
Yes can you please book that for me?,4
"Well just one, I need the travel time too.",4
I need a taxi to leave from the gallery at twelve a high street to arrive by 15:30,4
I'm going to the nirala.,4
I'm planning a visit to Cambridge and I want to know when a train that is leaving Monday will take me to Broxbourne.,4
"Yes, it should leave after 9:00.",4
I will need tickets for 3 people and also the reference number please.,4
I'm looking for an attraction called sheep's green and lammas land park fen causeway.,4
Can I get the entrance fee and phone number please?,4
I am looking for a place to go visit in the centre of town.,4
I am looking for a place to go visit in the centre of town.,1
"Great can I get the entrance fee, address, and phone number please?",4
Thank you I also need a place to stay that has a 4 star rating and is in the cheap price range.,1
"Yes, I would to stay in a guest house in Cambridge.",1
"If possible, I would like to stay in the centre close to Saints Church.",1
"If possible, I would like to stay in the centre close to Saints Church.",4
"Okay, go ahead and book it for just me for 4 nights starting Thursday. Can I get a reference number please?",0
I will be the only one staying.,0
Can you help? I'm in need of a taxi. I'm trying to get from hobsons house to royal spice.,4
I want to leave after 18:30 please,4
I am looking for a place to dine. The restaurant should be in the cheap price range and should serve chinese food,3
Which area is it in?,3
I want to book a train from birmingham new street and go to cambridge.,4
I am making the trip on Saturday and would need to arrive by 18:45.,4
"Yes, that would work great. I need to book the train for 3 people. Can I get a reference number?",4
"Can I get a place to eat, I'm looking for something expensive in the west part of town.",3
I'm looking for a place that serves British food. I'll just need the address please?,3
is that located in the west? i prefer the west.,3
i am looking for a place to go in the center of town for entertainment,4
"Hmm, nope. We've been there. How about a concert hall in the centre of town?",4
"Yes, what is the entrance fee for that please?",4
I guess I will find out when I get there. I'm also looking for information regarding a restaurant called Curry Queen.,3
What area it is located in and what their phone number is.,3
Hello. I'm trying to find a restaurant in the centre that serves Indian food.,3
I'm looking for something sort of on the cheap side.,3
I'm looking for something sort of on the cheap side.,1
Yes please make a reservation for 3 people at 16:00 on Saturday at any of those choices.,2
Yes please make a reservation for 3 people at 16:00 on Saturday at any of those choices.,1
I am also looking for a guesthouse that includes free wifi.,2
I am also looking for a guesthouse that includes free wifi.,1
The guesthouse should be in the same price range as the restaurant with a 4 start rating,1
I would like to book that for 5 nights please.,0
"The same two that I'm taking to the restaurant, so there are three of us all together.",0
The same day as the restaurant reservation which is Saturday.,2
The same day as the restaurant reservation which is Saturday.,0
Then how about 3 nights?,0
I need to book a taxi to come to Express by Holiday Inn Cambridge to take me to The Oak Bistro.,4
I want to leave by 07:30.,4
How much is the bus in the North.,1
How much is the bus in the North.,4
"I actually need a place to stay. In the north, 2 stars.",1
"I actually need a place to stay. In the north, 2 stars.",4
Are either a guest house?,1
"Yes, how about a hotel?",1
"Yes, please. There will be 3 of us arriving on Wednesday. We would like to stay for 5 nights.",0
I would also love a suggestion of something to do in the city. Something in the north would be preferred.,0
I would also love a suggestion of something to do in the city. Something in the north would be preferred.,4
"Yes, please provide their contact info.",4
"No, thank you. I will need a taxi, though.",4
I want to leave the Riverboat Georgina at 5:30 to go to the Ashley Hotel,4
I want to leave the Riverboat Georgina at 5:30 to go to the Ashley Hotel,0
I am looking for a nightclub. Are there any located in the south side of Cambridge?,4
"Yes, may I have the postcode please?",4
I'm also looking for a hotel to stay at called huntingdon marriot hotel. What is the address?,1
"Perhaps, can you tell me how many stars they have and if they have free parking?",1
"Yes. I also need a taxi to pick me up at the club by 23:45. I need a number and car type, please.",4
"Yes. I also need a taxi to pick me up at the club by 23:45. I need a number and car type, please.",1
The Huntingdon Marriott Hotel please.,4
The Huntingdon Marriott Hotel please.,1
Looking for a restaurant thats expensive. Needs to be in the centre area.,3
How about british food? Is there anything like that?,3
"Sure, surprise me! I need a reservation for 5 people at 18:15 on friday.",2
"Sure, surprise me! I need a reservation for 5 people at 18:15 on friday.",4
"Yes, I am also looking for a train departing from Peterborough. Can you help me with that?",4
I will be traveling to Cambridge and need to arrive by 9:15 on Friday.,2
I will be traveling to Cambridge and need to arrive by 9:15 on Friday.,4
"Yes, please book for 5 people as well...and can you provide me with a reference number?",4
I'm looking for a specific restaurant. I'll give you the name when you're ready.,3
"I'd like to book a table at the Cambridge Chop House. 5 people at 16:15 on Wednesday, please.",2
"I'd like to book a table at the Cambridge Chop House. 5 people at 16:15 on Wednesday, please.",4
I also need to book a train that is going to Cambridge that will arrive by 10:00.,4
I will be leaving from Bishops Stortford on Wednesday and would like to arrive by 10:00.,2
I will be leaving from Bishops Stortford on Wednesday and would like to arrive by 10:00.,4
I'll go with the one that arrives by 8:07. I'll need 5 tickets.,4
Can you tell me what sorts of entertainment are offered in the city center?,4
What about a museum?,4
Never mind. How about colleges?,4
what are the ones with an entrance fee?,4
How much is it to get into Trinity College?,4
"I'm also looking for an expensive restaurant in that area. I would like to book for 6 people, at 12:00 on Thursday. Can you help me?",2
You choose. Book me a table for 6 people at 12:00 on Thursday.,2
I need the reference number for the reservation.,2
"I'm looking for a place to dine, can you help?",3
I am looking for cheap Chinese food in centre.,3
I am looking for cheap Chinese food in centre.,4
I would like to find something cheap. Is Charlie Chan cheap?,3
Yes can you please get me a reservation?,3
"There are 5 people, and we'd like it for Friday at 18:15",2
"There are 5 people, and we'd like it for Friday at 18:15",4
Can I have the reference number please?,2
"I need to visit an attraction type college near the restaurant, give me the entrance fee and phone number. Also, I need a taxi, will need the phone and car type.",4
"I need to visit an attraction type college near the restaurant, give me the entrance fee and phone number. Also, I need a taxi, will need the phone and car type.",4
"Yes, please. Get me a taxi and make sure it gets to the restaurant by 18:15",2
"Yes, please. Get me a taxi and make sure it gets to the restaurant by 18:15",4
"Yes, please. Get me a taxi and make sure it gets to the restaurant by 18:15",4
i would like it to arrive at the restaurant by the booking time,4
I will be departing from saint catharine's college.,4
I will be departing from saint catharine's college.,4
Can you find me a cinema in town that I can go to?,4
Either area is fine. Can you pick one for me and let me know their address?,4
Do you know the entrance fee?,4
"Yes, can you tell me their address please?",4
Please find me a british restaurant in the expensive price range?,3
I would like a restaurant in the centre.,3
"Yes please, could you book a table for 6 people at 15:30 on Tuesday. Could i have the reference number too please?",2
"Sure, no problem.",2
Can you tell me about some colleges to go to?,4
"That sounds fine! Can I get their phone number, address, and postcode?",4
Can you get me information on a restaurant called yippee noodle bar?,3
"Yes, please. A table for 1 at 11:00 on Friday.",2
Great. I am also looking for an entertainment venue in the town centre. Can you help me with that?,4
"Sure, let's try nightclubs.",4
There are no nightclubs in town?,4
"Which club to you recommend, can I get the entrance fee and phone number?",4
What trains leave cambridge and arrive by 21:00?,4
No I need leave in Wednesday and I am going to norwich.,4
No I need leave in Wednesday and I am going to norwich.,3
"No, I don't have a specific departure time, but I need to book 8 tickets on the same train.",4
"Great, thanks. Yes, I need to find an expensive restaurant in the centre area as well.",3
"I do not care, I just need to get the restaurant for 8 people, at 16:00, on wednesday as well, do any of them fit that?",2
"I do not care, I just need to get the restaurant for 8 people, at 16:00, on wednesday as well, do any of them fit that?",4
"Yes, that sounds good, and I would like the reference number, please.",2
I was looking for a hotel called worth house someone told me about.,1
Can you tell me their star rating and fo they have free parking? Oh and what area are they in?,1
No thank you. I am also looking for a place to go in the west section of town. Can you help with that?,4
Whale of a Time sounds good. Can you give me the postcode and address for that?,4
"Yes, I will also need a taxi between those two places. I want to leave the hotel by 2:15. I will need the contact number and car type.",4
"I'm looking for a modern European restaurant near the centre, could you hook me up?",3
I would like moderate price range please.,3
Yes could you book me one seat at 17:45 on a Monday?,2
Lets try a table for 1 on Monday at 16:45 instead.,2
I'm looking for some places to go in Cambridge. Specifically some time of architecture in the east.,4
I'm looking for some places to go in Cambridge. Specifically some time of architecture in the east.,4
A museum in the east would be nice if possible.,4
"Can I please have the address, phone number and postcode for Cambridge Artworks?",4
"Can I please have the address, phone number and postcode for Cambridge Artworks?",4
I'm also looking for a train that leaves on monday after 13:00.,4
To kings lynn. I'm leaving from cambridge if that helps.,4
"Yes, book it! Three other people will be with me.",4
I am looking for an expensive restaurant in the south part of town.,3
"Actually, I'm trying to find a restaurant with Italian food. Is there any place like that that has the same requirements?",3
What is its postcode and address?,3
No. I'm looking for a train. The train should depart from cambridge and should leave on friday.,4
I'm headed to norwich and need to be there by 8:30. Can I get the train ID and it's travel time?,4
Give me the train ID and travel time for the train the departs at 05:36.,4
Yes please.,4
"Actually, I don't need to book the train at this time. Thank you for your help!",4
Hi there. Can you help me find a train going to London Liverpool Street?,4
I would like to leave from Cambridge on Friday. Any train after 16:00 should be fine.,4
"Yeah, that sounds good. Can you get me two tickets?",4
"Yes, I'm also looking for a hotel called avalon.",1
"I need to book it for 2 nights, starting Wednesday, for 2 people.",0
I am wanting to book a taxi to go to Cherry Hinton Water Play. I want to make sure I arrive by 10:00.,4
I would like to be picked up from golden house.,4
I'm looking for a place to go in the centre of town.,4
I'm looking for a place to go in the centre of town.,1
I would like a college please can you send me some info?,4
"Yes, that's fine. Can you give me the phone number, entrance fee, and postcode? Thanks.",4
I am also looking for a place to stay. It should be a guesthouse in the same area and include free wifi. It doesn't need to have free parking.,1
The star preference doesn't matter. I'll take the 4 star.,1
Thank you. I will also need a taxi to commute between the two places.,4
From the Alexander B&B to Christ's College. I want to leave the hotel by 09:45.,4
May I please get a contact number for the taxi?,4
What type of car is it?,4
I am looking for information in Cambridge.,4
I am wanting to find out what nightclubs you have in the city?,4
I just need a phone number for one you recommend.,4
I would love some information on a train to get me to Ely on Thursday.,4
"Yes, I need the train to arrive by 10:45.",4
That would be great. Can I book 5 seats for that train?,4
I'd love some help finding more information about the Michaelhouse Cafe.,3
"Yes, could I get the phone number and postcode?",3
"I also need to take a train from peterbourough to cambridge, I need to arrive by 21:00",4
I will be traveling on Sunday,4
Yes 1 ticket please and the reference number then too,4
I need a train from Cambridge leaving after 18:30 in the evening please.,4
London liverpool street. I need the train for wednesday.,4
"Yes, that should be fine, can you tell me how long is the travel time?",4
I don't know at this time. I would have to check.,4
Are there any restaurants that would be in the west?,3
"I don't care what kind of food, but I am looking for an expensive restaurant. Please let me know what food type you find.",3
Yes that would be great,3
1 person and after 20:00,2
"Yes, that would be fine. Thank you!",2
"Hi, I'm looking for an indian restaurant.",3
"I'm looking for something in the west, and it should be expensive.",3
"I'm looking for something in the west, and it should be expensive.",4
"cocum sounds interesting. can you give me the phone number, address and postcode please?",3
Do you have any recommendations for places to go in town maybe some architecture? That are in the same area as the restaurant?,4
I'd like to stay in one area. Are there any museums near the restaurant that would be open?,4
"Yes, could I get the postcode and address please?",4
"Yes, I need a Taxi from the Museum by 11:30 to the restaurant.",4
"Yes, I need a Taxi from the Museum by 11:30 to the restaurant.",4
Could you help me find a college to visit?,4
I would like to visit one in the centre.,4
What is the street address and postal code for Christ's College? I am also looking for a hotel called the City Centre North B and B.,1
What is the street address and postal code for Christ's College? I am also looking for a hotel called the City Centre North B and B.,4
Thank you. I had a friend recommend a hotel called the City Centre North B and B. Can you tell me if there are any rooms available there?,1
"Book it for Thursday night, 3 nights, and 4 people. Thank You!",0
"Actually, I'd like to book there Monday for 1 night with 8 people.",0
I would also like a taxi and would like to leave the college by 06:45. Can you also provide me with its contact number and car type?,4
I would also like a taxi and would like to leave the college by 06:45. Can you also provide me with its contact number and car type?,4
I am planning a trip in Cambridge,4
Great. I wanted to find a theatre to visit while I'm in town.,4
I don't have a preference. Can you recommend one and provide me some information on it?,4
ADC Theatre will work. Can you tell me what part of town that is in?,4
Great! Can you give me the postcode and phone number? I'd like to mark that in my notes in case I get lost.,4
Can I get the postcode for that as well?,4
"OK. Can you help with trains, too, or do I have to go somewhere else for that?",4
I will be departing from ely and going to cambridge,4
I am planning to leave on saturday and it should arrive by 15:30.,4
"Yes, please. I need tickets for 8 people.",4
"Hi, I'm looking for a restaurant called pizza hut cherry hinton, can you help me find it?",3
"No, I wanted to make a reservation there.",3
Just one person on Sunday at 19:45,2
Please help me locate a train that departs from Cambridge and is going to Leicester. Thanks.,4
"I'm flexible about departure time, but I must arrive by 18:45 on Saturday.",4
"I'm flexible about departure time, but I must arrive by 18:45 on Saturday.",3
Not yet but can I get travel time and train ID?,4
"What is the travel time for the train? Also, I need a place to eat in the centre. It should be in the expensive range.",3
"What is the travel time for the train? Also, I need a place to eat in the centre. It should be in the expensive range.",4
Any place in the centre with good food and service would be perfect.,3
"ok, as long as it's expensive.",3
Yes. Book for 5 people the same day and at 15:30.,2
I feel like dancing so please find me a nightclub in the centre,4
Could you tell me their entrance fee?,4
"Yes, I'm also looking for a train. I need to arrive by 18:00. I'm heading to London Liverpool Street.",4
I am departing from Cambridge on Monday.,4
You've already given me the train ID. I just need the departure time.,4
I need somewhere to stay.,1
"Yes, a hotel. Something 2 stars.",1
"Yes, please! Pick your favorite and book it for 7 people, 2 nights. We'll be arriving on Friday.",0
"Yes, where would you suggest to eat?",0
"Yes, where would you suggest to eat?",3
I would like italian please.,3
Actually can you find an attraction called Jesus College.,4
I need a taxi to return back to the hotel. I'll be leaving the college at 3:15 PM.,4
I need a taxi to return back to the hotel. I'll be leaving the college at 3:15 PM.,0
I am looking for a train. The train should depart from peterborough and should arrive by 13:00.,4
Only if it leaves on Thursday.,4
Yes I would like tickets for 2 people and the reference number please.,4
Yes. I am also looking for museums to go to in town.,4
Not really. Can you give me a list of museums?,4
Fantastic. Could you provide me with the phone number for that museum?,4
I want to find a four star hotel that has free internet.,1
I would like a cheap hotel.,1
"Yes, please book it for 6 people for 4 nights starting saturday. I'll need the reference number when it is booked. Thank you.",0
thank you. I also need to book a train out of cambridge after 20:30.,4
I'm not sure yet how many people but I would like to leave on Wednesday.,4
I will be going to Ely.,4
how much would one ticket cost?,4
I need a train leaving from Cambridge this Thursday,4
I need a train leaving from Cambridge this Thursday,3
"I'm going to king's lynn, and I need to arrive by 21:00.",4
Please get me a ticket for one that leaves at 5:11 a.m and send me the reference number.,4
Yes! I am looking for a restaurant that serves corsica food and it should in the centre. Can you find me a place to dine?,3
Can you check if these is any corsica restaurants anywhere?,3
"Yes, how about something that serves indian food.",3
"That sounds great! Go head and make a reservation for 1 for 13:00 on Thursday, please. I would like the reference number as well.",2
"That sounds great! Go head and make a reservation for 1 for 13:00 on Thursday, please. I would like the reference number as well.",4
"Actually, I was looking for an cheap restaurant. Are there any cheap Indian restaurants. If so, let's cancel that reservation.",2
What is the name of the restaurant?,2
"No, thanks. I am all set.",2
I need to find a train departing on Sunday that is going to Cambridge.,4
I am departing from leicester.,4
Yes I need to leave after 18:30 on sunday and I need to make a reservation for 8 people. Can you give me a reference number for the booking?,4
Yes please book it for 8 people.,4
i'm also looking for places to go in town.,4
"Hmmm...all of those sound interesting, but I am really looking for a college. Are there any in the centre of town?",4
That sounds great! Can you tell me the entrance fee?,4
I'm looking for a guesthouse to stay in on the east side. You know of any?,1
The guesthouse should be expensive.,1
"Okay, I guess I could go for something different. Do you have anything on the cheap side?",1
"I actually want something in the expensive price range, sorry.",1
"I'm sorry for changing my mind again but cheap is fine. You had mentioned Autumn House. What is their address, please.",1
"First I need the address please. Also, can you tell me if they have free parking and wifi?",1
We are going to the centre for a night out. Hear you have some great attractions can you help me find something fun?,4
I'd prefer something more geared towards nightlife. Maybe a club?,4
Yes. What is the entrance fee?,4
I'd also like to know the postcode.,4
"Yes, I'd also like some help finding a hotel.",1
It should be a guest house. And I need WiFi and parking,1
Can you look for a guesthouse in the Centre with free parking?,1
Can you look for a guesthouse in the Centre with free parking?,4
Yes. Please book for a party of 7 for Saturday. We'll be staying 3 nights.,0
Thank you that would be all I need for today,4
I would love to see some architecture in the centre please,4
"All saints church sounds nice, can I please get their postcode and phone number?",4
Thank you. I am also looking for information regarding a train to Cambridge please.,4
I'm leaving london kings cross on monday after 17:45.,4
I would. I'd be coming with four of my friends.,4
I need a train to bishops stortford that arrives by 17:15.,4
I am leaving cambridge and need to arrive by 17:15.,4
I want to leave on Friday.,4
"Yes, I need a booking for 5 people and the reference number. I am also looking for information on Cambridge Artworks.",4
"Yes, I need a booking for 5 people and the reference number. I am also looking for information on Cambridge Artworks.",4
I'd like to know what area Cambridge Artworks is in.,4
I'd like to know what area Cambridge Artworks is in.,4
"What is the address, postcode, and phone number please.",4
I'm looking for a restaurant. I don't suppose you happen to have one serving australasian food?,3
Do you have one that is in the moderate price range and serves modern european food?,3
Great can you make a reservation for 1 at 11:45 on Wednesday? Please send me the reservation number once booked.,2
Great can you make a reservation for 1 at 11:45 on Wednesday? Please send me the reservation number once booked.,4
"Yes, I'm also looking for an attraction in the centre of town. Are there any boats that I can see?",2
"Yes, I'm also looking for an attraction in the centre of town. Are there any boats that I can see?",4
"Yes please, and can I get their phone number? How much does it cost?",4
I still would like to know the price of the two places. I also need to arrange a taxi to commute between those two areas.,4
I still would like to know the price of the two places. I also need to arrange a taxi to commute between those two areas.,4
Scudamores Punting Co sounds fine. Could you get me the contact number and car type for the taxi?,4
Scudamores Punting Co sounds fine. Could you get me the contact number and car type for the taxi?,4
"I would like to arrive by 11:45 on wednesday, can I get the car type?",4
"I would like to arrive by 11:45 on wednesday, can I get the car type?",2
I need to find a train going to Broxbourne leaving from Cambridge. Can you help?,4
I need to leave on Sunday and arrive by 18:45.,4
Yes please book it for me.,4
I will only need one ticket.,4
"Thanks. I am also looking for a hotel called the Warkworth house. I need the phone number, price range, and info on if they have free parking.",1
Would you happen to have information on the Lovell Lodge?,1
Can I get the phone number and address please?,1
I looking for some information on a restaurant called Gandhi.,3
book for 6 people at 15:00 on teusday,2
I'm also looking for college attraction in the centre of town. What are my options?,4
"Can you give me the postcode, entrance fee, and phone number of christ's college?",4
I also need a taxi.,4
I need to get to Christ's College from the Gandhi restaurant.,4
I need to get to Christ's College from the Gandhi restaurant.,2
I need to get to Christ's College from the Gandhi restaurant.,4
"I want to try a local restraint, can you help?",3
"Yes, sorry. I would like to try Indonesian food tonight and I would like it in Centre please.",3
Are there any lebanese options available?,3
"Yes, I would like to book a table for 6 people at 20:00 on Thursday. Please give me a reference number. I am also looking for a 4 star guesthouse.",2
"Yes, I would like to book a table for 6 people at 20:00 on Thursday. Please give me a reference number. I am also looking for a 4 star guesthouse.",1
"Yes, I would like to book a table for 6 people at 20:00 on Thursday. Please give me a reference number. I am also looking for a 4 star guesthouse.",4
